Mood,Effort,Score_Info,Output
Happy,Low,Low_Score,Yes
Happy,High,Low_Score,Yes
Sad,Low,Low_Score,Yes
Happy,Low,Low_Score,Yes
Neutral,Medium,Mild_Score,No
Neutral,High,Mild_Score,No
Happy,High,Mild_Score,No
Neutral,High,Mild_Score,No
Happy,Low,Mild_Score,No
Sad,Low,Mild_Score,No
Sad,Medium,High_Score,Yes
Sad,High,High_Score,Yes
Neutral,Medium,High_Score,Yes
Sad,Low,High_Score,Yes
Neutral,Low,Ultra_Score,No
Happy,Medium,Ultra_Score,No
Happy,Medium,Ultra_Score,No
Sad,High,Ultra_Score,No
Sad,Medium,Ultra_Score,No
